model,model_key,mean_logprob_only_auroc,min_logprob_only_auroc,entropy_only_auroc,proposed_3feat_auroc,proposed_3feat_accuracy,proposed_3feat_f1,mean_logprob_baseline_auroc,self_consistency_auroc,self_consistency_accuracy,self_consistency_f1,semantic_self_consistency_auroc,calls_proposed,calls_self_consistency
Qwen2.5-1.5B-Instruct,qwen2.5-1.5b-instruct,0.7801339285714286,0.6908482142857143,0.7823660714285714,0.7555803571428572,0.7166666666666667,0.6530612244897959,0.7801339285714286,0.6763070077864295,0.5666666666666667,0.38095238095238093,0.5706340378197998,200,1000
Llama-3.2-1B-Instruct,llama-3.2-1b-instruct,0.6341189674523009,0.6374859708193041,0.6127946127946129,0.6161616161616161,0.6166666666666667,0.6567164179104478,0.6341189674523009,0.5945945945945946,0.6333333333333333,0.7441860465116279,0.5323149236192715,200,1000
